Sample	%dup_pretrim	All	%dup_postrim	After_trim	Aligned	Duplicated	%duplicated	After_rmdup	After_filtering
COO2_untreated_10K_S2_10A_S1_L001_R1_001	18.61307741376254	17709345.0	17.660751924189782	17564977.0	15906308	2914855	18.325200	12991453	11762342
COO2_untreated_10K_S2_10A_S1_L002_R1_001	17.820483567687134	18280934.0	16.97159858632685	18150831.0	16469130	3804611	23.101500	12664519	11417748
COO2_untreated_10K_S3_10B_S2_L001_R1_001	18.064209822732963	13944449.0	17.86429347829406	13925850.0	13158456	2442511	18.562300	10715945	9698919
COO2_untreated_10K_S3_10B_S2_L002_R1_001	17.86480264805634	14585096.0	17.673614331394276	14567605.0	13765907	3226284	23.436800	10539623	9496368
COO2_untreated_10K_S4_10C_S3_L001_R1_001	22.194506150662804	12167654.0	21.893159195366394	12140397.0	11321763	2448471	21.626200	8873292	7967053
COO2_untreated_10K_S4_10C_S3_L002_R1_001	22.060002874694703	12741844.0	21.78648493434099	12716662.0	11858142	3066461	25.859500	8791681	7858943
COO2_untreated_3M_4F_S2L_12B_S17_L001_R1_001	17.37209197597727	18034658.0	17.100866709426384	18007920.0	17231294	3184600	18.481500	14046694	12780161
COO2_untreated_3M_4F_S2L_12B_S17_L002_R1_001	16.420980605124512	18505218.0	16.204448163217833	18480668.0	17689741	4261415	24.089800	13428326	12154291
COO2_untreated_3M_4F_S2S_12A_S16_L001_R1_001	17.221586180086973	16821557.0	16.96199490079617	16807591.0	15559839	2624196	16.865200	12935643	11568518
COO2_untreated_3M_4F_S2S_12A_S16_L002_R1_001	16.67537108377985	17383738.0	16.402922128927486	17370148.0	16098818	3519103	21.859400	12579715	11187200
COO2_untreated_3M_4F_S3_11A_S8_L001_R1_001	16.045334373869167	16712679.0	15.802908800526723	16699358.0	15724429	2673627	17.00300	13050802	11911578
COO2_untreated_3M_4F_S3_11A_S8_L002_R1_001	15.12935933306511	16826769.0	14.887941574777116	16814372.0	15853137	3505448	22.11200	12347689	11219883
COO2_untreated_3M_4F_S4_11B_S9_L001_R1_001	17.045874621534708	14952482.0	16.869049302324896	14943884.0	13943717	2445132	17.535700	11498585	10344025
COO2_untreated_3M_4F_S4_11B_S9_L002_R1_001	16.45232965915369	15200356.0	16.259889539126405	15192121.0	14192813	3246814	22.876500	10945999	9792845
COO4_untreated_10K_S2_2E_S36_L001_R1_001	16.682152937434836	16023533.0	16.504096490622544	16009340.0	15020048	2630810	17.515300	12389238	11344206
COO4_untreated_10K_S2_2E_S36_L002_R1_001	15.768456105231266	16427772.0	15.609600946309001	16414906.0	15417590	3474217	22.534100	11943373	10891208
COO4_untreated_10K_S3_2F_S37_L001_R1_001	16.588736043469112	16784481.0	16.089514270030662	16745421.0	15620701	2704240	17.311900	12916461	11759638
COO4_untreated_10K_S3_2F_S37_L002_R1_001	16.05749788755834	17729903.0	15.57802937514677	17692831.0	16525631	3709855	22.449100	12815776	11621339
COO4_untreated_10K_S4_2G_S38_L001_R1_001	16.26873314267293	13247834.0	15.63119888462326	13184153.0	12057982	1955629	16.218500	10102353	9192092
COO4_untreated_10K_S4_2G_S38_L002_R1_001	15.904854796861969	13741524.0	15.326846651115474	13683468.0	12541602	2596857	20.705900	9944745	9015118
S30307_10KF_S2S_S25_L001_R1_001	9.504503431652566	30993180.0	9.281993420802294	30906941.0	30300064	2786862	9.197500	27513202	23307787
S30307_10KF_S2S_S25_L002_R1_001	9.394384531239666	30264253.0	9.163515221625389	30176602.0	29430222	2701837	9.180500	26728385	22628204
S30308_10KF_S2L_S26_L001_R1_001	10.068078517031665	30641978.0	9.904395668188442	30578556.0	29763090	2966333	9.966500	26796757	22568151
S30308_10KF_S2L_S26_L002_R1_001	9.837243277520756	29854999.0	9.674789381004317	29789227.0	28844355	2855696	9.900400	25988659	21872830
S30309_10KF_S3_S27_L001_R1_001	11.327336409843454	27972701.0	11.157950801930028	27494832.0	26217457	2983179	11.378600	23234278	19730718
S30309_10KF_S3_S27_L002_R1_001	11.224015930736854	27386763.0	11.086416447503012	26916582.0	25543316	2893624	11.328300	22649692	19225470
