Name	Fraction	Sample	Protocol
H3K36me3	H3K36me3	E055	ChIP
H3K4me1	H3K4me1	E055	ChIP
H3K4me3	H3K4me3	E055	ChIP
H3K27ac	H3K27ac	E055	ChIP
C002_S2_3f	S2	C002-rep1	3f
C002_S3_3f	S3	C002-rep1	3f
C002_S4_3f	S4	C002-rep1	3f
C004_S2_3f	S2	C004-rep1	3f
C004_S3_3f	S3	C004-rep1	3f
C004_S4_3f	S4	C004-rep1	3f
C002_S2_4f10K	S2	C002-rep1	4f10K
C002_S3_4f10K	S3	C002-rep1	4f10K
C002_S4_4f10K	S4	C002-rep1	4f10K
C004-rep1_S2L_4f10K	S2L	C004-rep1	4f10K
C004-rep1_S2S_4f10K	S2S	C004-rep1	4f10K
C004-rep1_S3_4f10K	S3	C004-rep1	4f10K
C004-rep1_S4_4f10K	S4	C004-rep1	4f10K
C004-rep2_S2_4f10K	S2	C004-rep2	4f10K
C004-rep2_S3_4f10K	S3	C004-rep2	4f10K
C004-rep2_S4_4f10K	S4	C004-rep2	4f10K
C002_S2L_4f	S2L	C002-rep1	4f
C002_S2S_4f	S2S	C002-rep1	4f
C002_S3_4f	S3	C002-rep1	4f
C002_S4_4f	S4	C002-rep1	4f
C004-rep1_S2L_4f	S2L	C004-rep1	4f
C004-rep1_S2S_4f	S2S	C004-rep1	4f
C004-rep1_S3_4f	S3	C004-rep1	4f
C004-rep1_S4_4f	S4	C004-rep1	4f
C004-rep2_S2L_4f	S2L	C004-rep2	4f
C004-rep2_S2S_4f	S2S	C004-rep2	4f
C004-rep2_S3_4f	S3	C004-rep2	4f
C004-rep2_S4_4f	S4	C004-rep2	4f
H3K27me3	H3K27me3	E055	ChIP
H3K9me3	H3K9me3	E055	ChIP
LaminA/C	LaminA/C	E055	ChIP
LaminB1	LaminB1	E055	ChIP
