Name	Fraction	Sample	Protocol
H3K36me3	H3K36me3	E055	ChIP
H3K4me1	H3K4me1	E055	ChIP
H3K4me3	H3K4me3	E055	ChIP
H3K27ac	H3K27ac	E055	ChIP
C002_3f_S4vsS2	S4vsS2	C002-rep1	3f
C004_3f_S4vsS2	S4vsS2	C004-rep1	3f
C002_4f10K_S3vsS2	S3vsS2	C002-rep1	4f10K
C004-rep1_4f10K_S3vsS2S	S3vsS2	C004-rep1	4f10K
C004-rep2_4f10K_S3vsS2	S3vsS2	C002-rep2	4f10K
C002_4f_S3vsS2S	S3vsS2	C002-rep1	4f
C004-rep1_4f_S3vsS2S	S3vsS2S	C004-rep1	4f
C004-rep2_4f_S3vsS2S	S3vsS2S	C004-rep2	4f
H3K27me3	H3K27me3	E055	ChIP
H3K9me3	H3K9me3	E055	ChIP
LaminA/C	LaminA/C	E055	ChIP
LaminB1	LaminB1	E055	ChIP
