#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	919083	62617753	46.8004	0.688728	33.5	36.5
chr11	1	135086622	919845	63051195	46.6746	0.682874	33.5	36.6
chr12	1	133275309	871022	60677827	45.5282	0.655237	33.5	36.6
chr13	1	114364328	688724	46870944	40.9839	0.604084	33.5	36.7
chr14	1	107043718	608481	41852100	39.0981	0.570062	33.5	36.6
chr15	1	101991189	547301	37501191	36.769	0.538016	33.5	36.5
chr16	1	90338345	562427	36956897	40.9094	0.624076	33.5	36.1
chr17	1	83257441	548894	37420535	44.9456	0.660601	33.5	36.4
chr18	1	80373285	521435	35786971	44.526	0.650768	33.5	36.6
chr19	1	58617616	421665	28137422	48.0016	0.720381	33.5	36.6
chr1	1	248956422	1514977	104238009	41.87	0.610164	33.5	36.5
chr20	1	64444167	444725	29866812	46.3453	0.691653	33.5	36.4
chr21	1	46709983	285482	17517785	37.5033	0.612733	33.5	35.7
chr22	1	50818468	258437	16992204	33.4371	0.509594	33.5	35.9
chr2	1	242193529	1654236	113374646	46.8116	0.685025	33.5	36.6
chr3	1	198295559	1340938	92632718	46.7145	0.678277	33.5	36.6
chr4	1	190214555	1316881	89863554	47.2433	0.694516	33.5	36.6
chr5	1	181538259	1217276	83568239	46.0334	0.672527	33.5	36.6
chr6	1	170805979	1122170	78184971	45.7741	0.658961	33.5	36.6
chr7	1	159345973	1105416	75039768	47.0924	0.695738	33.5	36.5
chr8	1	145138636	972993	67030992	46.1841	0.672363	33.5	36.6
chr9	1	138394717	762047	52726993	38.099	0.552132	33.5	36.4
chrX	1	156040895	523581	41743013	26.7513	0.336548	33.5	36.4
chrY	1	57227415	67251	4703219	8.21847	0.117753	33.5	33.8
