#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2292769	71583816	53.5016	0.87225	36.5	35.5
chr11	1	135086622	2166807	69812795	51.68	0.816462	36.5	35.6
chr12	1	133275309	2126908	68644367	51.5057	0.812312	36.5	35.5
chr13	1	114364328	1532318	49832254	43.5732	0.682046	36.5	35.7
chr14	1	107043718	1454654	46665336	43.5947	0.691708	36.5	35.5
chr15	1	101991189	1345667	42590580	41.7591	0.671604	36.5	35.4
chr16	1	90338345	1470521	44332497	49.0738	0.82848	36.5	35.2
chr17	1	83257441	1394525	43372815	52.0948	0.852387	36.5	35
chr18	1	80373285	1263001	40242427	50.0694	0.7999	36.5	35.8
chr19	1	58617616	1158814	33928982	57.8819	1.00597	36.5	34.8
chr1	1	248956422	3602716	116199990	46.6748	0.736584	36.5	35.4
chr20	1	64444167	1149330	35212724	54.6407	0.90773	36.5	35.4
chr21	1	46709983	620912	18805198	40.2595	0.676636	36.5	34.8
chr22	1	50818468	690517	20473737	40.288	0.691525	36.5	34.8
chr2	1	242193529	3876798	124573877	51.4357	0.814794	36.5	35.6
chr3	1	198295559	3102800	101534922	51.2038	0.796519	36.5	35.6
chr4	1	190214555	2931328	95684280	50.3033	0.784506	36.5	35.5
chr5	1	181538259	2862868	92286733	50.836	0.802782	36.5	35.6
chr6	1	170805979	2680525	87303257	51.1125	0.798856	36.5	35.6
chr7	1	159345973	2571351	81455543	51.1187	0.821366	36.5	35.3
chr8	1	145138636	2385622	76005521	52.3675	0.836684	36.5	35.7
chr9	1	138394717	1885439	60093186	43.4216	0.693437	36.5	35.3
chrX	1	156040895	1211607	47728093	30.5869	0.395229	36.5	35.3
chrY	1	57227415	158194	5208813	9.10195	0.140706	36.5	31.9
