#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2180042	89740459	67.0719	1.61991	33.5	36.4
chr11	1	135086622	2251368	89595875	66.3248	1.65641	33.5	36.4
chr12	1	133275309	2137351	89535218	67.1806	1.59389	33.5	36.4
chr13	1	114364328	1198300	57090500	49.9198	1.04252	33.5	36.5
chr14	1	107043718	1392619	58283394	54.4482	1.29334	33.5	36.5
chr15	1	101991189	1398575	55905137	54.8137	1.36273	33.5	36.3
chr16	1	90338345	1602041	56873043	62.9556	1.76181	33.5	36.2
chr17	1	83257441	1821334	61151546	73.4487	2.17098	33.5	36.3
chr18	1	80373285	1031443	47241393	58.7775	1.27665	33.5	36.4
chr19	1	58617616	1406181	44789910	76.4103	2.37864	33.5	36.5
chr1	1	248956422	4047749	157657270	63.3273	1.61547	33.5	36.3
chr20	1	64444167	1231371	46226081	71.7304	1.89895	33.5	36.4
chr21	1	46709983	554793	22294177	47.7289	1.18097	33.5	35.9
chr22	1	50818468	879852	28442745	55.9693	1.71907	33.5	36.2
chr2	1	242193529	3655011	156178877	64.4852	1.50051	33.5	36.4
chr3	1	198295559	2928391	128101450	64.6013	1.46863	33.5	36.4
chr4	1	190214555	2331206	111781866	58.7662	1.2195	33.5	36.3
chr5	1	181538259	2510814	112006073	61.6983	1.37548	33.5	36.4
chr6	1	170805979	2481060	109926033	64.3573	1.44443	33.5	36.4
chr7	1	159345973	2343461	100907332	63.3259	1.46218	33.5	36.3
chr8	1	145138636	2083178	92250542	63.5603	1.42757	33.5	36.4
chr9	1	138394717	1914862	77041206	55.6677	1.37511	33.5	36.3
chrX	1	156040895	933379	59512673	38.1392	0.595059	33.5	36.1
chrY	1	57227415	92538	5762565	10.0696	0.161021	33.5	33.9
