#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2204792	69465502	51.9184	0.838765	36.5	35.4
chr11	1	135086622	2063637	67569749	50.0196	0.777581	36.5	35.5
chr12	1	133275309	2023189	66314830	49.7578	0.772664	36.5	35.4
chr13	1	114364328	1560382	50198316	43.8933	0.694564	36.5	35.7
chr14	1	107043718	1419318	45821502	42.8063	0.674926	36.5	35.5
chr15	1	101991189	1260256	40776321	39.9802	0.628931	36.5	35.3
chr16	1	90338345	1414527	43050171	47.6544	0.796883	36.5	35.1
chr17	1	83257441	1292206	41301428	49.6069	0.789832	36.5	34.9
chr18	1	80373285	1223240	39300492	48.8975	0.774694	36.5	35.7
chr19	1	58617616	1139328	33459567	57.0811	0.988982	36.4	34.7
chr1	1	248956422	3388173	111527646	44.7981	0.692695	36.5	35.3
chr20	1	64444167	1070305	33540686	52.0461	0.845297	36.5	35.3
chr21	1	46709983	625364	18627020	39.878	0.681483	36.5	34.6
chr22	1	50818468	641840	19456386	38.2861	0.642695	36.5	34.6
chr2	1	242193529	3753533	121602164	50.2087	0.788865	36.5	35.5
chr3	1	198295559	2978308	98614250	49.7309	0.764566	36.5	35.6
chr4	1	190214555	2955953	95626412	50.2729	0.791095	36.5	35.5
chr5	1	181538259	2805664	90743755	49.986	0.786714	36.5	35.5
chr6	1	170805979	2586456	85086861	49.8149	0.770816	36.5	35.5
chr7	1	159345973	2513835	79866937	50.1217	0.803005	36.5	35.3
chr8	1	145138636	2309117	74137592	51.0805	0.809884	36.5	35.7
chr9	1	138394717	1799284	58237492	42.0807	0.661724	36.5	35.3
chrX	1	156040895	1236402	48236729	30.9129	0.403335	36.5	35.2
chrY	1	57227415	175872	5450970	9.5251	0.156405	36.5	31.6
