row	col	chr	corr_val
H3K36me3	H3K36me3	chr1	1
H3K36me3	H3K36me3	chr2	1
H3K36me3	H3K36me3	chr3	1
H3K36me3	H3K36me3	chr4	1
H3K36me3	H3K36me3	chr5	1
H3K36me3	H3K36me3	chr6	1
H3K36me3	H3K36me3	chr7	1
H3K36me3	H3K36me3	chrX	1
H3K36me3	H3K36me3	chr8	1
H3K36me3	H3K36me3	chr9	1
H3K36me3	H3K36me3	chr11	1
H3K36me3	H3K36me3	chr10	1
H3K36me3	H3K36me3	chr12	1
H3K36me3	H3K36me3	chr13	1
H3K36me3	H3K36me3	chr14	1
H3K36me3	H3K36me3	chr15	1
H3K36me3	H3K36me3	chr16	1
H3K36me3	H3K36me3	chr17	1
H3K36me3	H3K36me3	chr18	1
H3K36me3	H3K36me3	chr20	1
H3K36me3	H3K36me3	chr19	1
H3K36me3	H3K36me3	chrY	1
H3K36me3	H3K36me3	chr22	1
H3K36me3	H3K36me3	chr21	1
H3K36me3	H3K4me1	chr1	0.816228975636483
H3K36me3	H3K4me1	chr2	0.827367097747174
H3K36me3	H3K4me1	chr3	0.817874320787005
H3K36me3	H3K4me1	chr4	0.797379076834452
H3K36me3	H3K4me1	chr5	0.820497355633709
H3K36me3	H3K4me1	chr6	0.821984729985081
H3K36me3	H3K4me1	chr7	0.796141360238868
H3K36me3	H3K4me1	chrX	0.789123181156853
H3K36me3	H3K4me1	chr8	0.809667593238969
H3K36me3	H3K4me1	chr9	0.830541113496252
H3K36me3	H3K4me1	chr11	0.866269698067647
H3K36me3	H3K4me1	chr10	0.806656678397192
H3K36me3	H3K4me1	chr12	0.818222816519558
H3K36me3	H3K4me1	chr13	0.821639304370946
H3K36me3	H3K4me1	chr14	0.825671509726722
H3K36me3	H3K4me1	chr15	0.774647437928737
H3K36me3	H3K4me1	chr16	0.87671659818282
H3K36me3	H3K4me1	chr17	0.820322937198106
H3K36me3	H3K4me1	chr18	0.794406005597314
H3K36me3	H3K4me1	chr20	0.831662628172478
H3K36me3	H3K4me1	chr19	0.689675624940957
H3K36me3	H3K4me1	chrY	0.845269294064938
H3K36me3	H3K4me1	chr22	0.841224152106376
H3K36me3	H3K4me1	chr21	0.841496313330077
H3K36me3	H3K4me3	chr1	0.843070034885944
H3K36me3	H3K4me3	chr2	0.862434351583425
H3K36me3	H3K4me3	chr3	0.860429457339507
H3K36me3	H3K4me3	chr4	0.845833461899658
H3K36me3	H3K4me3	chr5	0.865945880007286
H3K36me3	H3K4me3	chr6	0.816940989311811
H3K36me3	H3K4me3	chr7	0.863485578078179
H3K36me3	H3K4me3	chrX	0.812922328865587
H3K36me3	H3K4me3	chr8	0.858827548432526
H3K36me3	H3K4me3	chr9	0.849710728875461
H3K36me3	H3K4me3	chr11	0.887811300954039
H3K36me3	H3K4me3	chr10	0.863224729897313
H3K36me3	H3K4me3	chr12	0.866283718176382
H3K36me3	H3K4me3	chr13	0.864366029784606
H3K36me3	H3K4me3	chr14	0.856475036099173
H3K36me3	H3K4me3	chr15	0.791617952170871
H3K36me3	H3K4me3	chr16	0.900120628152912
H3K36me3	H3K4me3	chr17	0.838721985123396
H3K36me3	H3K4me3	chr18	0.837637231305508
H3K36me3	H3K4me3	chr20	0.882846089012229
H3K36me3	H3K4me3	chr19	0.828071088494202
H3K36me3	H3K4me3	chrY	0.823705960506314
H3K36me3	H3K4me3	chr22	0.856966828579982
H3K36me3	H3K4me3	chr21	0.893799233397596
H3K36me3	H3K27ac	chr1	0.799544117125214
H3K36me3	H3K27ac	chr2	0.836255270599371
H3K36me3	H3K27ac	chr3	0.811991819688996
H3K36me3	H3K27ac	chr4	0.78112512622514
H3K36me3	H3K27ac	chr5	0.824742768845655
H3K36me3	H3K27ac	chr6	0.815384319539174
H3K36me3	H3K27ac	chr7	0.823836269536526
H3K36me3	H3K27ac	chrX	0.759699033939133
H3K36me3	H3K27ac	chr8	0.818186866789398
H3K36me3	H3K27ac	chr9	0.779045530042064
H3K36me3	H3K27ac	chr11	0.862586466483336
H3K36me3	H3K27ac	chr10	0.821184340497815
H3K36me3	H3K27ac	chr12	0.840794054037666
H3K36me3	H3K27ac	chr13	0.819769181566432
H3K36me3	H3K27ac	chr14	0.799907650800703
H3K36me3	H3K27ac	chr15	0.666733180530064
H3K36me3	H3K27ac	chr16	0.826230866640595
H3K36me3	H3K27ac	chr17	0.798393864585163
H3K36me3	H3K27ac	chr18	0.804372689233896
H3K36me3	H3K27ac	chr20	0.846810777432516
H3K36me3	H3K27ac	chr19	0.676592544169869
H3K36me3	H3K27ac	chrY	0.767940531447256
H3K36me3	H3K27ac	chr22	0.64097126754587
H3K36me3	H3K27ac	chr21	0.820514576232521
H3K36me3	C002_3f_S4vsS2	chr1	-0.490609616209309
H3K36me3	C002_3f_S4vsS2	chr2	-0.562057473100878
H3K36me3	C002_3f_S4vsS2	chr3	-0.578981279601868
H3K36me3	C002_3f_S4vsS2	chr4	-0.603055710074062
H3K36me3	C002_3f_S4vsS2	chr5	-0.602385928618378
H3K36me3	C002_3f_S4vsS2	chr6	-0.543702418192812
H3K36me3	C002_3f_S4vsS2	chr7	-0.510411242856609
H3K36me3	C002_3f_S4vsS2	chrX	-0.571320775813241
H3K36me3	C002_3f_S4vsS2	chr8	-0.511358164775299
H3K36me3	C002_3f_S4vsS2	chr9	-0.539926209143482
H3K36me3	C002_3f_S4vsS2	chr11	-0.675008327260669
H3K36me3	C002_3f_S4vsS2	chr10	-0.603771421199365
H3K36me3	C002_3f_S4vsS2	chr12	-0.533976695000195
H3K36me3	C002_3f_S4vsS2	chr13	-0.600802853513259
H3K36me3	C002_3f_S4vsS2	chr14	-0.607457493595534
H3K36me3	C002_3f_S4vsS2	chr15	-0.543511220121347
H3K36me3	C002_3f_S4vsS2	chr16	-0.715784696574972
H3K36me3	C002_3f_S4vsS2	chr17	-0.651284309347158
H3K36me3	C002_3f_S4vsS2	chr18	-0.572812156926632
H3K36me3	C002_3f_S4vsS2	chr20	-0.599110263554789
H3K36me3	C002_3f_S4vsS2	chr19	-0.538342362007654
H3K36me3	C002_3f_S4vsS2	chrY	-0.652503240385233
H3K36me3	C002_3f_S4vsS2	chr22	-0.667661371747189
H3K36me3	C002_3f_S4vsS2	chr21	-0.640682753784723
H3K36me3	C004_3f_S4vsS2	chr1	-0.277174673576192
H3K36me3	C004_3f_S4vsS2	chr2	-0.446145303203121
H3K36me3	C004_3f_S4vsS2	chr3	-0.439127911503918
H3K36me3	C004_3f_S4vsS2	chr4	-0.567926722557153
H3K36me3	C004_3f_S4vsS2	chr5	-0.49521912655628
H3K36me3	C004_3f_S4vsS2	chr6	-0.406960879141235
H3K36me3	C004_3f_S4vsS2	chr7	-0.438443606455917
H3K36me3	C004_3f_S4vsS2	chrX	-0.486910978501742
H3K36me3	C004_3f_S4vsS2	chr8	-0.468606090791186
H3K36me3	C004_3f_S4vsS2	chr9	-0.371190035454502
H3K36me3	C004_3f_S4vsS2	chr11	-0.550157567843051
H3K36me3	C004_3f_S4vsS2	chr10	-0.48345591150644
H3K36me3	C004_3f_S4vsS2	chr12	-0.428645680889998
H3K36me3	C004_3f_S4vsS2	chr13	-0.565847986435893
H3K36me3	C004_3f_S4vsS2	chr14	-0.47073213420829
H3K36me3	C004_3f_S4vsS2	chr15	-0.314289880564109
H3K36me3	C004_3f_S4vsS2	chr16	-0.546702523228921
H3K36me3	C004_3f_S4vsS2	chr17	-0.39192007934327
