#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	2100456	69917703	52.2564	0.799701	36.7	35.9
chr11	1	135086622	2145224	70922345	52.5014	0.808939	36.7	36
chr12	1	133275309	2078112	69878793	52.4319	0.794277	36.7	35.9
chr13	1	114364328	1351686	47519140	41.5507	0.602109	36.7	36.1
chr14	1	107043718	1368549	46177092	43.1385	0.651268	36.7	36
chr15	1	101991189	1276011	42319641	41.4934	0.637292	36.7	35.9
chr16	1	90338345	1303597	42079678	46.5801	0.734976	36.7	35.5
chr17	1	83257441	1365954	43655170	52.434	0.835584	36.6	35.6
chr18	1	80373285	1097880	38072705	47.3699	0.695858	36.7	36.1
chr19	1	58617616	961288	30807644	52.557	0.834983	36.6	35.3
chr1	1	248956422	3767930	122544855	49.2234	0.770954	36.7	35.9
chr20	1	64444167	1055898	34398265	53.3768	0.834551	36.7	35.8
chr21	1	46709983	524238	17514210	37.4956	0.571717	36.7	35.3
chr22	1	50818468	623020	19733311	38.831	0.624416	36.7	35.3
chr2	1	242193529	3721167	125306077	51.738	0.782693	36.7	36
chr3	1	198295559	3066363	103697371	52.2943	0.787748	36.7	36
chr4	1	190214555	2680545	93502583	49.1564	0.717921	36.7	35.9
chr5	1	181538259	2683159	91180753	50.2267	0.752961	36.7	36
chr6	1	170805979	2590421	88187961	51.6305	0.772593	36.7	36
chr7	1	159345973	2359194	80020152	50.2179	0.754179	36.7	35.8
chr8	1	145138636	2184193	74367664	51.2391	0.766641	36.7	36.1
chr9	1	138394717	1809193	60069955	43.4048	0.665891	36.7	35.8
chrX	1	156040895	1052910	43585943	27.9324	0.343734	36.7	35.7
chrY	1	57227415	115357	4165514	7.27888	0.102683	36.7	32.1
