row	col	chr	corr_val
H3K36me3	H3K36me3	chr1	1
H3K36me3	H3K36me3	chr2	1
H3K36me3	H3K36me3	chr3	1
H3K36me3	H3K36me3	chr4	1
H3K36me3	H3K36me3	chr5	1
H3K36me3	H3K36me3	chr6	1
H3K36me3	H3K36me3	chr7	1
H3K36me3	H3K36me3	chrX	1
H3K36me3	H3K36me3	chr8	1
H3K36me3	H3K36me3	chr9	1
H3K36me3	H3K36me3	chr11	1
H3K36me3	H3K36me3	chr10	1
H3K36me3	H3K36me3	chr12	1
H3K36me3	H3K36me3	chr13	1
H3K36me3	H3K36me3	chr14	1
H3K36me3	H3K36me3	chr15	1
H3K36me3	H3K36me3	chr16	1
H3K36me3	H3K36me3	chr17	1
H3K36me3	H3K36me3	chr18	1
H3K36me3	H3K36me3	chr20	1
H3K36me3	H3K36me3	chr19	1
H3K36me3	H3K36me3	chrY	1
H3K36me3	H3K36me3	chr22	1
H3K36me3	H3K36me3	chr21	1
H3K36me3	H3K4me1	chr1	0.816228975636483
H3K36me3	H3K4me1	chr2	0.827367097747174
H3K36me3	H3K4me1	chr3	0.817874320787005
H3K36me3	H3K4me1	chr4	0.797379076834452
H3K36me3	H3K4me1	chr5	0.820497355633709
H3K36me3	H3K4me1	chr6	0.821984729985081
H3K36me3	H3K4me1	chr7	0.796141360238868
H3K36me3	H3K4me1	chrX	0.789123181156853
H3K36me3	H3K4me1	chr8	0.809667593238969
H3K36me3	H3K4me1	chr9	0.830541113496252
H3K36me3	H3K4me1	chr11	0.866269698067647
H3K36me3	H3K4me1	chr10	0.806656678397192
H3K36me3	H3K4me1	chr12	0.818222816519558
H3K36me3	H3K4me1	chr13	0.821639304370946
H3K36me3	H3K4me1	chr14	0.825671509726722
H3K36me3	H3K4me1	chr15	0.774647437928737
H3K36me3	H3K4me1	chr16	0.87671659818282
H3K36me3	H3K4me1	chr17	0.820322937198106
H3K36me3	H3K4me1	chr18	0.794406005597314
H3K36me3	H3K4me1	chr20	0.831662628172478
H3K36me3	H3K4me1	chr19	0.689675624940957
H3K36me3	H3K4me1	chrY	0.845269294064938
H3K36me3	H3K4me1	chr22	0.841224152106376
H3K36me3	H3K4me1	chr21	0.841496313330077
H3K36me3	H3K4me3	chr1	0.843070034885944
H3K36me3	H3K4me3	chr2	0.862434351583425
H3K36me3	H3K4me3	chr3	0.860429457339507
H3K36me3	H3K4me3	chr4	0.845833461899658
H3K36me3	H3K4me3	chr5	0.865945880007286
H3K36me3	H3K4me3	chr6	0.816940989311811
H3K36me3	H3K4me3	chr7	0.863485578078179
H3K36me3	H3K4me3	chrX	0.812922328865587
H3K36me3	H3K4me3	chr8	0.858827548432526
H3K36me3	H3K4me3	chr9	0.849710728875461
H3K36me3	H3K4me3	chr11	0.887811300954039
H3K36me3	H3K4me3	chr10	0.863224729897313
H3K36me3	H3K4me3	chr12	0.866283718176382
H3K36me3	H3K4me3	chr13	0.864366029784606
H3K36me3	H3K4me3	chr14	0.856475036099173
H3K36me3	H3K4me3	chr15	0.791617952170871
H3K36me3	H3K4me3	chr16	0.900120628152912
H3K36me3	H3K4me3	chr17	0.838721985123396
H3K36me3	H3K4me3	chr18	0.837637231305508
H3K36me3	H3K4me3	chr20	0.882846089012229
H3K36me3	H3K4me3	chr19	0.828071088494202
H3K36me3	H3K4me3	chrY	0.823705960506314
H3K36me3	H3K4me3	chr22	0.856966828579982
H3K36me3	H3K4me3	chr21	0.893799233397596
H3K36me3	H3K27ac	chr1	0.799544117125214
H3K36me3	H3K27ac	chr2	0.836255270599371
H3K36me3	H3K27ac	chr3	0.811991819688996
H3K36me3	H3K27ac	chr4	0.78112512622514
H3K36me3	H3K27ac	chr5	0.824742768845655
H3K36me3	H3K27ac	chr6	0.815384319539174
H3K36me3	H3K27ac	chr7	0.823836269536526
H3K36me3	H3K27ac	chrX	0.759699033939133
H3K36me3	H3K27ac	chr8	0.818186866789398
H3K36me3	H3K27ac	chr9	0.779045530042064
H3K36me3	H3K27ac	chr11	0.862586466483336
H3K36me3	H3K27ac	chr10	0.821184340497815
H3K36me3	H3K27ac	chr12	0.840794054037666
H3K36me3	H3K27ac	chr13	0.819769181566432
H3K36me3	H3K27ac	chr14	0.799907650800703
H3K36me3	H3K27ac	chr15	0.666733180530064
H3K36me3	H3K27ac	chr16	0.826230866640595
H3K36me3	H3K27ac	chr17	0.798393864585163
H3K36me3	H3K27ac	chr18	0.804372689233896
H3K36me3	H3K27ac	chr20	0.846810777432516
H3K36me3	H3K27ac	chr19	0.676592544169869
H3K36me3	H3K27ac	chrY	0.767940531447256
H3K36me3	H3K27ac	chr22	0.64097126754587
H3K36me3	H3K27ac	chr21	0.820514576232521
H3K36me3	C002_S2_3f	chr1	-0.246473640234591
H3K36me3	C002_S2_3f	chr2	-0.0479360405885038
H3K36me3	C002_S2_3f	chr3	-0.053636034758835
H3K36me3	C002_S2_3f	chr4	0.111680992513746
H3K36me3	C002_S2_3f	chr5	0.0181840518490472
H3K36me3	C002_S2_3f	chr6	0.000324603721531439
H3K36me3	C002_S2_3f	chr7	-0.143683552019543
H3K36me3	C002_S2_3f	chrX	-0.0363303218265183
H3K36me3	C002_S2_3f	chr8	-0.0497912626916937
H3K36me3	C002_S2_3f	chr9	-0.167241402955537
H3K36me3	C002_S2_3f	chr11	0.0156276526366279
H3K36me3	C002_S2_3f	chr10	0.0487711024024972
H3K36me3	C002_S2_3f	chr12	-0.181773007713668
H3K36me3	C002_S2_3f	chr13	-0.0900130231749769
H3K36me3	C002_S2_3f	chr14	-0.0999856367880306
H3K36me3	C002_S2_3f	chr15	-0.104743523583695
H3K36me3	C002_S2_3f	chr16	-0.0910703814956302
H3K36me3	C002_S2_3f	chr17	-0.142289451476085
H3K36me3	C002_S2_3f	chr18	0.0130978889105205
H3K36me3	C002_S2_3f	chr20	-0.193608976544769
H3K36me3	C002_S2_3f	chr19	0.0743821953777887
H3K36me3	C002_S2_3f	chrY	-0.674479451706078
H3K36me3	C002_S2_3f	chr22	0.131695641033102
H3K36me3	C002_S2_3f	chr21	-0.101723606625195
H3K36me3	C002_S3_3f	chr1	-0.583754197027657
H3K36me3	C002_S3_3f	chr2	-0.64240833876173
H3K36me3	C002_S3_3f	chr3	-0.645471340395142
H3K36me3	C002_S3_3f	chr4	-0.665778432575361
H3K36me3	C002_S3_3f	chr5	-0.636257780164648
H3K36me3	C002_S3_3f	chr6	-0.579950498391197
H3K36me3	C002_S3_3f	chr7	-0.591092272555198
H3K36me3	C002_S3_3f	chrX	-0.643744008369918
H3K36me3	C002_S3_3f	chr8	-0.596267131431078
H3K36me3	C002_S3_3f	chr9	-0.570850629806739
H3K36me3	C002_S3_3f	chr11	-0.659682329663316
H3K36me3	C002_S3_3f	chr10	-0.59282437086001
H3K36me3	C002_S3_3f	chr12	-0.623681722287112
H3K36me3	C002_S3_3f	chr13	-0.730483231768579
H3K36me3	C002_S3_3f	chr14	-0.660791167363023
H3K36me3	C002_S3_3f	chr15	-0.446492696750841
H3K36me3	C002_S3_3f	chr16	-0.592815666096135
H3K36me3	C002_S3_3f	chr17	-0.530513847346495
H3K36me3	C002_S3_3f	chr18	-0.664534137514005
H3K36me3	C002_S3_3f	chr20	-0.602862203681
H3K36me3	C002_S3_3f	chr19	-0.390915594409068
H3K36me3	C002_S3_3f	chrY	-0.723820015197858
H3K36me3	C002_S3_3f	chr22	-0.180390629002506
H3K36me3	C002_S3_3f	chr21	-0.66286831147822
