#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr10	1	133797422	3023738	85733930	64.0774	1.1238	36	35.8
chr11	1	135086622	2972783	85151068	63.0344	1.09441	36	35.8
chr12	1	133275309	2963586	85348438	64.0392	1.10584	36	35.8
chr13	1	114364328	2380824	65859182	57.5872	1.03571	36	36.1
chr14	1	107043718	2028250	57707704	53.9104	0.942355	36	35.9
chr15	1	101991189	1719417	50040635	49.0637	0.838214	36	35.7
chr16	1	90338345	1657802	47786453	52.8972	0.912035	36	35.4
chr17	1	83257441	1518484	45994975	55.2443	0.906075	36	35.3
chr18	1	80373285	1835412	51087153	63.5624	1.13593	36	36.1
chr19	1	58617616	1044959	31813859	54.2735	0.885091	35.9	34.9
chr1	1	248956422	4837638	141097023	56.6754	0.96618	36	35.8
chr20	1	64444167	1366494	39272111	60.9397	1.05405	36	35.5
chr21	1	46709983	874556	23120834	49.4987	0.931283	36	35
chr22	1	50818468	699076	20563078	40.4638	0.683389	35.9	34.6
chr2	1	242193529	5510041	156325388	64.5457	1.13157	36	35.9
chr3	1	198295559	4614003	130709483	65.9165	1.1574	36	36
chr4	1	190214555	4643757	128115211	67.353	1.21462	36	35.9
chr5	1	181538259	4215783	118171380	65.0945	1.15519	36	35.9
chr6	1	170805979	3937827	111948354	65.5412	1.14677	36	35.9
chr7	1	159345973	3569791	100962368	63.3605	1.11418	36	35.7
chr8	1	145138636	3384604	95297148	65.6594	1.15993	36	36
chr9	1	138394717	2512502	72111003	52.1053	0.902798	36	35.6
chrX	1	156040895	1794404	64651498	41.4324	0.572047	36	35.6
chrY	1	57227415	223658	6949234	12.1432	0.194368	36	32.1
